x,y,z,color
0.09175357621338473, -0.0631512625238343, -0.04771335377286785, 0
0.03893743004952649, -0.13451070029576462, -0.09160016697105942, 0
-0.04468545592252471, -0.08230119093432756, -0.1574730519115115, 0
0.02840108725301968, -0.13178566880142445, -0.06776968962289631, 0
0.039646447116152075, -0.20099255007324818, -0.11326875978363911, 0
-0.036659822137716985, -0.2316186774043283, -0.15150068013604695, 0
-0.07552034114098352, -0.17040982592542112, -0.23998583026780862, 0
-0.07715756029266496, -0.09227462651549295, -0.33448179958626784, 0
-0.12376316551225493, -0.16200134992559478, -0.25921575351615467, 0
-0.0746033796295499, -0.16068359399857748, -0.217126096495086, -1
-0.09515981859059157, -0.20617554512528352, -0.2660219104737118, 0
-0.11241013135453844, -0.24515798942832526, -0.2569108916610446, 0
-0.1739980462687774, -0.23234385813288855, -0.2618726229104219, 0
-0.13284579239478944, -0.2954213610505727, -0.22182824051273586, 0
-0.09297491333064073, -0.3751672983951547, -0.299018025193125, 0
-0.15687010056552703, -0.2969691570985141, -0.20524152674038482, 0
-0.23164176297386385, -0.28686184045472946, -0.20565922831430428, -1
-0.21075625056462033, -0.24941488010548818, -0.15281390585596807, 0
-0.2161120498393965, -0.3339064745037811, -0.1238722564556824, 0
-0.12131710219455494, -0.408520913082591, -0.09135574409946046, 0
-0.13135385769757552, -0.3867911095262745, -0.11980007622980529, 0
-0.04434178393130078, -0.3190123513548183, -0.0466425218585875, 0
0.046093273550942115, -0.36703897024229815, 0.05044757620406312, 0
0.09773441881944517, -0.3839183262836652, -0.0248403388181426, 0
0.1398106921525008, -0.30129010731824013, -0.10594404920630258, 0
0.14386138638477797, -0.36589235951646276, -0.04955453016862467, 0
0.12161162768781286, -0.4626623277703159, -0.02734200667683248, 0
0.13729179526195073, -0.5622451099371234, -0.048768853962012415, 0
0.22312776529992176, -0.5058274762678066, -0.11764181928332806, 0
0.1997886093647065, -0.5358459819942817, -0.09216692280909211, 0
0.1640597190217456, -0.46816262020520616, -0.023187227131705707, 0
0.09291859382439778, -0.5334293272024996, -0.016718292030232715, 0
0.008470309712511684, -0.5249144412812417, -0.02363874168864337, 0
-0.08771844737224177, -0.5494009392307826, -0.04433131709305893, 0
-0.09382593448366774, -0.538599043277726, -0.06868208259130859, 0
-0.15155376958979977, -0.5450192909077632, -0.05044899301965877, 0
-0.2478486950483622, -0.542342121640052, -0.03928216228084358, 0
-0.20025937277540826, -0.5120569915981299, -0.1221271563300171, 0
-0.21587760728264777, -0.41752398128505774, -0.10775351559535716, 0
-0.18805246894955666, -0.44049590430458746, -0.11584012092156165, 0
-0.1290895204793872, -0.4736869727437647, -0.20995562093856346, 0
-0.18833666270752938, -0.4403774312362052, -0.2801361255061393, 0
-0.23808930794281333, -0.4096942410118302, -0.20240299619881438, 0
-0.19591673721351435, -0.47807157805659284, -0.2249637100816893, 0
